INFO 2025-09-17 02:13:19,818 autoreload 4088 3784 Watching for file changes with StatReloader
INFO 2025-09-17 02:13:30,073 basehttp 4088 10152 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,075 basehttp 4088 10204 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,076 basehttp 4088 10008 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,076 basehttp 4088 10160 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,078 basehttp 4088 10208 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,079 basehttp 4088 10212 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,079 basehttp 4088 10152 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,081 basehttp 4088 10204 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,081 basehttp 4088 10008 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,083 basehttp 4088 10160 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,086 basehttp 4088 10212 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,086 basehttp 4088 10208 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,088 basehttp 4088 10152 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,090 basehttp 4088 10204 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,100 basehttp 4088 10008 "GET /api/partners/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:30,101 basehttp 4088 10160 "GET /api/users/me/ HTTP/1.1" 200 233
INFO 2025-09-17 02:13:30,105 basehttp 4088 10152 "GET /api/seasons/ HTTP/1.1" 200 265
INFO 2025-09-17 02:13:30,117 basehttp 4088 10212 "GET /api/seasons/ HTTP/1.1" 200 265
INFO 2025-09-17 02:13:30,117 basehttp 4088 10152 "GET /api/seasons/ HTTP/1.1" 200 265
INFO 2025-09-17 02:13:30,117 basehttp 4088 10204 "GET /api/seasons/ HTTP/1.1" 200 265
INFO 2025-09-17 02:13:30,120 basehttp 4088 10208 "GET /api/matches/latest/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,121 basehttp 4088 10008 "GET /api/clubs/?all=1&_ts=1758053609972 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:30,129 basehttp 4088 10160 "GET /api/players/top_scorers/ HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,138 basehttp 4088 10160 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,140 basehttp 4088 10008 "GET /api/partners/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:30,143 basehttp 4088 10212 "GET /api/players/top_scorers/ HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,143 basehttp 4088 10208 "GET /api/matches/latest/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,143 basehttp 4088 10160 "POST /api/token/refresh/ HTTP/1.1" 200 483
INFO 2025-09-17 02:13:30,145 basehttp 4088 10152 "GET /api/matches/upcoming/?params%5B_ts%5D=1758053609975 HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,146 basehttp 4088 10204 "GET /api/matches/upcoming/?params%5B_ts%5D=1758053609973 HTTP/1.1" 200 2
INFO 2025-09-17 02:13:30,146 basehttp 4088 10008 "OPTIONS /api/clubs/table/?_ts=1758053610117&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:30,156 basehttp 4088 10208 "GET /api/clubs/?all=1&_ts=1758053609975 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:30,158 basehttp 4088 10212 "GET /api/clubs/table/?_ts=1758053610117&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:13:52,779 basehttp 4088 10160 "OPTIONS /api/seasons/?params%5B_ts%5D=1758053632772 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:52,779 basehttp 4088 10152 "OPTIONS /api/seasons/?params%5B_ts%5D=1758053632772 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:52,786 basehttp 4088 10008 "GET /api/seasons/?params%5B_ts%5D=1758053632772 HTTP/1.1" 200 265
INFO 2025-09-17 02:13:52,789 basehttp 4088 10204 "GET /api/seasons/?params%5B_ts%5D=1758053632772 HTTP/1.1" 200 265
INFO 2025-09-17 02:13:55,802 basehttp 4088 10208 "OPTIONS /api/partners/?params%5B_ts%5D=1758053635594 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:55,802 basehttp 4088 10212 "OPTIONS /api/partners/?params%5B_ts%5D=1758053635594 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:55,808 basehttp 4088 10152 "GET /api/partners/?params%5B_ts%5D=1758053635594 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:55,810 basehttp 4088 10160 "GET /api/partners/?params%5B_ts%5D=1758053635594 HTTP/1.1" 200 52
INFO 2025-09-17 02:13:56,797 basehttp 4088 10008 "OPTIONS /api/matches/stadiums/?params%5B_ts%5D=1758053636790 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:56,797 basehttp 4088 10204 "OPTIONS /api/matches/stadiums/?params%5B_ts%5D=1758053636791 HTTP/1.1" 200 0
INFO 2025-09-17 02:13:56,807 basehttp 4088 10208 "GET /api/matches/stadiums/?params%5B_ts%5D=1758053636790 HTTP/1.1" 200 117
INFO 2025-09-17 02:13:56,808 basehttp 4088 10212 "GET /api/matches/stadiums/?params%5B_ts%5D=1758053636791 HTTP/1.1" 200 117
INFO 2025-09-17 02:15:01,872 basehttp 4088 10152 "OPTIONS /api/clubs/table/?_ts=1758053701856&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,872 basehttp 4088 10160 "OPTIONS /api/clubs/?all=1&_ts=1758053701857 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,878 basehttp 4088 10204 "OPTIONS /api/clubs/table/?_ts=1758053701858&season=1 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,878 basehttp 4088 10208 "OPTIONS /api/clubs/?all=1&_ts=1758053701858 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,880 basehttp 4088 10008 "OPTIONS /api/matches/?params%5B_ts%5D=1758053701858 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,882 basehttp 4088 10160 "OPTIONS /api/matches/?params%5B_ts%5D=1758053701858 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:01,891 basehttp 4088 10152 "GET /api/clubs/?all=1&_ts=1758053701857 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:01,898 basehttp 4088 10208 "GET /api/clubs/?all=1&_ts=1758053701858 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:01,902 basehttp 4088 10212 "GET /api/clubs/table/?_ts=1758053701856&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:15:01,902 basehttp 4088 10008 "GET /api/matches/?params%5B_ts%5D=1758053701858 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:01,902 basehttp 4088 10204 "GET /api/clubs/table/?_ts=1758053701858&season=1 HTTP/1.1" 200 2
INFO 2025-09-17 02:15:01,910 basehttp 4088 10160 "GET /api/matches/?params%5B_ts%5D=1758053701858 HTTP/1.1" 200 52
INFO 2025-09-17 02:15:04,276 basehttp 4088 3988 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2025-09-17 02:15:04,286 basehttp 4088 3988 "GET /api/users/me/ HTTP/1.1" 200 233
INFO 2025-09-17 02:15:04,349 basehttp 4088 3988 "OPTIONS /api/clubs/?all=1&_ts=1758053704336 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:04,351 basehttp 4088 3988 "OPTIONS /api/matches/?params%5B_ts%5D=1758053704337 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:04,354 basehttp 4088 9936 "OPTIONS /api/clubs/?all=1&_ts=1758053704339 HTTP/1.1" 200 0
INFO 2025-09-17 02:15:04,358 basehttp 4088 3988 "OPTIONS /api/matches/?params%5B_ts%5D=1758053704339 HTTP/1.1" 200 0
